SKU,PN
ENTERPRISEPREMIUM,Office 365 E5
VISIOONLINE,Visio Web App
SHAREPOINTSTANDARD_EDU,SharePoint Plan 1 for EDU
WACSHAREPOINTSTD_FACULTY,Office Web Apps (Plan 1 For Faculty)
D365_CSI_EMBED_CE,Dynamics 365 Customer Service Insights for CE Plan
MCOFREE,MCO Free for Microsoft Teams (Free)
ENTERPRISEPACK_STREAM_O365_E3,O365 E3 - Stream for Office 365
SMB_APPS_DYN365BC_MS_INVOICING,Microsoft Business Apps - Microsoft Invoicing
SMB_BUSINESS,Microsoft 365 Apps for Business
SKU_DYNAMICS_365_FOR_HCM_TRIAL_POWERAPPS_DYN_APPS,Dynamics 365 for Talents
O365_BUSINESS_ESSENTIALS_FLOW_O365_P1,M365 Business Basic - Flow for Office 365
SHAREPOINTWAC_GOV,Office for the Web for Government
FLOW_P2,Power Automate Plan 2
CCIBOTS_PRIVPREV_VIRAL_CCIBOTS_PRIVPREV_VIRAL,Dynamics Bots Trial
LITEPACK_P4_OFFICE_PRO_PLUS_SUBSCRIPTION_SMBIZ,Office 365 Small Business Premium - Office 365 ProPlus
PROJECTONLINE_PLAN_4_SHAREPOINT_PROJECT,Project Online With Project for O365 - Project Online Service
ENTERPRISEPREMIUM_OFFICESUBSCRIPTION,O365 E5 - Office 365 ProPlus
DYN365_BUSINESS_MARKETING,Dynamics 365 for Marketing Business Edition
AX7_USER_TRIAL,Microsoft Dynamics AX7 User Trial
EOP_ENTERPRISE,Exchange Online Protection
STANDARDWOFFPACK_STUDENT,Office 365 A1 for students
KAIZALA_O365_P1,Microsoft Kaizala Pro Plan 1
M365_F1_ADALLOM_S_DISCOVERY,M365 F1 - Cloud App Security Discovery
POWERAPPS_O365_P2_GOV,Power Apps for Office 365 P2 for Government
WINBIZ,Windows 10/11 Business
TeamsEss,Microsoft Teams Essentials
Windows Store for Business EDU Store_faculty,Windows Store for Business EDU Store_faculty
WACONEDRIVEENTERPRISE_ONEDRIVEENTERPRISE,Onedrive for Business (P2) - OneDrive for Business P2
